Income,HouseholdStatus,EducationLevel,Party
"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Republican
"under $25,000",Single (no kids),Bachelor's Degree,Democrat
"$50,000 - $74,999",Married (w/kids),Associate's Degree,Democrat
"$100,001 - $150,000",Married (w/kids),Doctoral Degree,Republican
"$100,001 - $150,000",Single (no kids),Current K-12,Republican
"over $150,000",Married (w/kids),Bachelor's Degree,Republican
"over $150,000",Married (w/kids),Master's Degree,Republican
"$100,001 - $150,000",Married (no kids),Bachelor's Degree,Republican
"$25,001 - $50,000",Married (no kids),Current Undergraduate,Republican
"$25,001 - $50,000",Domestic Partners (no kids),Master's Degree,Republican
"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,Republican
"under $25,000",Single (no kids),Current Undergraduate,Republican
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"under $25,000",Single (no kids),Current K-12,Democrat
"$50,000 - $74,999",Single (w/kids),High School Diploma,Democrat
"$50,000 - $74,999",Domestic Partners (w/kids),Current Undergraduate,Democrat
"$50,000 - $74,999",Single (no kids),Current Undergraduate,Democrat
"$75,000 - $100,000",Single (no kids),Current K-12,Democrat
"over $150,000",Single (no kids),Current K-12,Republican
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$100,001 - $150,000",Single (no kids),High School Diploma,Republican
"$100,001 - $150,000",Single (no kids),Current K-12,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$75,000 - $100,000",Domestic Partners (no kids),Current Undergraduate,Democrat
"under $25,000",Single (no kids),Current K-12,Republican
"$75,000 - $100,000",Married (no kids),High School Diploma,Republican
"over $150,000",Married (w/kids),Bachelor's Degree,Republican
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Republican
"under $25,000",Single (no kids),Current K-12,Republican
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Democrat
"$100,001 - $150,000",Married (w/kids),Current Undergraduate,Democrat
"over $150,000",Married (w/kids),Bachelor's Degree,Republican
"$75,000 - $100,000",Married (w/kids),High School Diploma,Republican
"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Republican
"$25,001 - $50,000",Single (no kids),High School Diploma,Republican
"under $25,000",Single (no kids),Current Undergraduate,Republican
"$50,000 - $74,999",Domestic Partners (no kids),High School Diploma,Democrat
"$50,000 - $74,999",Single (no kids),Master's Degree,Republican
"$100,001 - $150,000",Married (no kids),Bachelor's Degree,Democrat
"$25,001 - $50,000",Single (no kids),High School Diploma,Republican
"$25,001 - $50,000",Single (no kids),High School Diploma,Democrat
"over $150,000",Married (w/kids),High School Diploma,Republican
"$100,001 - $150,000",Married (no kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Current K-12,Republican
"under $25,000",Single (no kids),High School Diploma,Democrat
"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Democrat
"over $150,000",Married (w/kids),Bachelor's Degree,Republican
"$50,000 - $74,999",Single (no kids),High School Diploma,Democrat
"under $25,000",Single (no kids),Associate's Degree,Democrat
"over $150,000",Single (w/kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Republican
"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,Republican
"under $25,000",Single (no kids),Current Undergraduate,Republican
"under $25,000",Single (no kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"under $25,000",Domestic Partners (no kids),Current Undergraduate,Democrat
"over $150,000",Single (no kids),Current K-12,Democrat
"over $150,000",Married (w/kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Bachelor's Degree,Democrat
"$100,001 - $150,000",Married (w/kids),Master's Degree,Democrat
"under $25,000",Married (w/kids),High School Diploma,Republican
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$75,000 - $100,000",Married (w/kids),High School Diploma,Republican
"$25,001 - $50,000",Single (no kids),High School Diploma,Republican
"$50,000 - $74,999",Married (no kids),Bachelor's Degree,Republican
"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Democrat
"over $150,000",Single (w/kids),Master's Degree,Democrat
"$25,001 - $50,000",Married (no kids),Associate's Degree,Democrat
"under $25,000",Single (no kids),Current K-12,Democrat
"$50,000 - $74,999",Married (no kids),High School Diploma,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$75,000 - $100,000",Single (no kids),Current Undergraduate,Democrat
"$25,001 - $50,000",Single (no kids),Current Undergraduate,Democrat
"$100,001 - $150,000",Married (w/kids),High School Diploma,Republican
"under $25,000",Single (no kids),High School Diploma,Democrat
"over $150,000",Married (w/kids),Bachelor's Degree,Democrat
"$75,000 - $100,000",Single (no kids),Current K-12,Democrat
"$75,000 - $100,000",Single (no kids),Current K-12,Republican
"$25,001 - $50,000",Domestic Partners (no kids),Current Undergraduate,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$50,000 - $74,999",Married (w/kids),Associate's Degree,Republican
"$100,001 - $150,000",Married (no kids),Bachelor's Degree,Republican
"$75,000 - $100,000",Single (no kids),Current K-12,Democrat
"$100,001 - $150,000",Single (no kids),Bachelor's Degree,Democrat
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat
"$50,000 - $74,999",Married (no kids),Current Undergraduate,Republican
"$100,001 - $150,000",Married (no kids),Associate's Degree,Democrat
"over $150,000",Domestic Partners (no kids),Doctoral Degree,Democrat
"over $150,000",Single (w/kids),High School Diploma,Republican
"$75,000 - $100,000",Domestic Partners (no kids),Master's Degree,Republican
"over $150,000",Married (w/kids),Associate's Degree,Republican
"$75,000 - $100,000",Single (no kids),Current K-12,Republican
"$100,001 - $150,000",Single (w/kids),Bachelor's Degree,Republican
"under $25,000",Single (w/kids),Master's Degree,Republican
"$75,000 - $100,000",Single (no kids),Bachelor's Degree,Republican
"over $150,000",Married (no kids),Bachelor's Degree,Democrat
"over $150,000",Married (w/kids),High School Diploma,Republican
"$100,001 - $150,000",Single (no kids),Current K-12,Republican
"$50,000 - $74,999",Single (no kids),Associate's Degree,Republican
"$100,001 - $150,000",Single (no kids),Current Undergraduate,Republican
"over $150,000",Married (no kids),Master's Degree,Democrat
"$25,001 - $50,000",Married (w/kids),High School Diploma,Democrat
"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Democrat
"$25,001 - $50,000",Single (no kids),Current Undergraduate,Republican
"under $25,000",Single (no kids),Current Undergraduate,Republican
"over $150,000",Married (no kids),High School Diploma,Democrat
"$25,001 - $50,000",Single (no kids),Master's Degree,Republican
"under $25,000",Single (no kids),Bachelor's Degree,Democrat
"over $150,000",Single (no kids),Current K-12,Republican
"over $150,000",Married (w/kids),Current Undergraduate,Republican
"$25,001 - $50,000",Single (no kids),High School Diploma,Republican
"over $150,000",Married (w/kids),Master's Degree,Republican
"under $25,000",Single (no kids),Current K-12,Democrat
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Republican
"$50,000 - $74,999",Married (no kids),Associate's Degree,Democrat
"$75,000 - $100,000",Domestic Partners (no kids),High School Diploma,Republican
"over $150,000",Domestic Partners (no kids),Doctoral Degree,Democrat
"over $150,000",Married (w/kids),Doctoral Degree,Democrat
"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Democrat
"$75,000 - $100,000",Single (no kids),High School Diploma,Democrat
"$50,000 - $74,999",Married (no kids),Bachelor's Degree,Republican
"$100,001 - $150,000",Single (no kids),Current Undergraduate,Democrat
"under $25,000",Married (no kids),High School Diploma,Republican
"$25,001 - $50,000",Single (no kids),Master's Degree,Republican
"under $25,000",Single (no kids),Current Undergraduate,Republican
"$25,001 - $50,000",Single (no kids),Master's Degree,Democrat
"$75,000 - $100,000",Single (no kids),Current K-12,Republican
"over $150,000",Married (w/kids),Master's Degree,Republican
"$50,000 - $74,999",Single (no kids),Master's Degree,Democrat
"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Republican
"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Republican
"$100,001 - $150,000",Married (w/kids),Master's Degree,Democrat
"under $25,000",Single (no kids),Associate's Degree,Democrat
"$25,001 - $50,000",Single (no kids),Current Undergraduate,Republican
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Bachelor's Degree,Democrat
"$75,000 - $100,000",Single (no kids),Current K-12,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Republican
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$50,000 - $74,999",Married (no kids),Master's Degree,Republican
"$50,000 - $74,999",Married (w/kids),Current Undergraduate,Republican
"over $150,000",Married (w/kids),Master's Degree,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Republican
"over $150,000",Married (no kids),Master's Degree,Republican
"over $150,000",Married (w/kids),Bachelor's Degree,Republican
"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Republican
"$25,001 - $50,000",Married (w/kids),High School Diploma,Republican
"$100,001 - $150,000",Married (w/kids),Master's Degree,Democrat
"$50,000 - $74,999",Married (w/kids),High School Diploma,Republican
"$75,000 - $100,000",Single (no kids),Current Undergraduate,Democrat
"$25,001 - $50,000",Single (no kids),Current Undergraduate,Republican
"$50,000 - $74,999",Single (w/kids),Associate's Degree,Democrat
"over $150,000",Married (w/kids),Master's Degree,Republican
"under $25,000",Single (no kids),Bachelor's Degree,Democrat
"over $150,000",Married (w/kids),Master's Degree,Republican
"over $150,000",Married (w/kids),Bachelor's Degree,Republican
"under $25,000",Single (no kids),Current Undergraduate,Republican
"$75,000 - $100,000",Married (w/kids),Associate's Degree,Democrat
"$25,001 - $50,000",Domestic Partners (no kids),High School Diploma,Republican
"$75,000 - $100,000",Single (no kids),Current K-12,Republican
"over $150,000",Married (w/kids),High School Diploma,Democrat
"$75,000 - $100,000",Married (no kids),Bachelor's Degree,Republican
"$75,000 - $100,000",Married (no kids),Master's Degree,Democrat
"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,Democrat
"$100,001 - $150,000",Single (no kids),Current K-12,Republican
"under $25,000",Single (no kids),Current K-12,Democrat
"under $25,000",Single (no kids),Bachelor's Degree,Democrat
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat
"over $150,000",Married (w/kids),Master's Degree,Democrat
"$100,001 - $150,000",Single (w/kids),Master's Degree,Democrat
"$75,000 - $100,000",Single (no kids),Current K-12,Republican
"$50,000 - $74,999",Single (no kids),Current K-12,Republican
"over $150,000",Married (w/kids),Master's Degree,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"under $25,000",Single (no kids),Bachelor's Degree,Democrat
"$100,001 - $150,000",Single (no kids),Current K-12,Democrat
"over $150,000",Domestic Partners (no kids),Current Undergraduate,Republican
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Republican
"over $150,000",Married (w/kids),Master's Degree,Republican
"over $150,000",Married (no kids),Bachelor's Degree,Republican
"$25,001 - $50,000",Married (w/kids),Bachelor's Degree,Democrat
"$25,001 - $50,000",Married (w/kids),Associate's Degree,Republican
"$100,001 - $150,000",Married (no kids),Master's Degree,Democrat
"$25,001 - $50,000",Single (no kids),High School Diploma,Republican
"under $25,000",Married (no kids),High School Diploma,Republican
"$75,000 - $100,000",Single (no kids),Current K-12,Republican
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$25,001 - $50,000",Single (w/kids),High School Diploma,Republican
"over $150,000",Single (no kids),Current Undergraduate,Republican
"over $150,000",Married (no kids),Master's Degree,Democrat
"over $150,000",Married (w/kids),Doctoral Degree,Democrat
"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Republican
"under $25,000",Single (w/kids),Current Undergraduate,Democrat
"$50,000 - $74,999",Married (w/kids),Associate's Degree,Republican
"$25,001 - $50,000",Single (no kids),Master's Degree,Democrat
"over $150,000",Single (no kids),Bachelor's Degree,Democrat
"over $150,000",Single (no kids),Current Undergraduate,Republican
"$100,001 - $150,000",Single (no kids),Current Undergraduate,Republican
"$100,001 - $150,000",Single (no kids),Current K-12,Democrat
"over $150,000",Married (no kids),Associate's Degree,Republican
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat
"$25,001 - $50,000",Married (w/kids),High School Diploma,Democrat
"$100,001 - $150,000",Married (w/kids),Associate's Degree,Republican
"$25,001 - $50,000",Single (no kids),Master's Degree,Republican
"under $25,000",Single (no kids),Current K-12,Republican
"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Republican
"$75,000 - $100,000",Single (no kids),Current K-12,Democrat
"under $25,000",Single (no kids),High School Diploma,Democrat
"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,Republican
"$100,001 - $150,000",Married (w/kids),High School Diploma,Democrat
"$100,001 - $150,000",Single (no kids),Master's Degree,Republican
"$25,001 - $50,000",Single (no kids),Current K-12,Democrat
"under $25,000",Single (no kids),Master's Degree,Republican
"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Republican
"$75,000 - $100,000",Married (w/kids),High School Diploma,Republican
"$75,000 - $100,000",Married (no kids),Master's Degree,Democrat
"over $150,000",Married (w/kids),Bachelor's Degree,Democrat
"$100,001 - $150,000",Married (w/kids),Master's Degree,Democrat
"$100,001 - $150,000",Married (w/kids),Current Undergraduate,Democrat
"$50,000 - $74,999",Single (no kids),High School Diploma,Republican
"over $150,000",Married (w/kids),Bachelor's Degree,Republican
"$25,001 - $50,000",Married (w/kids),Master's Degree,Republican
"$75,000 - $100,000",Single (no kids),High School Diploma,Democrat
"$25,001 - $50,000",Single (no kids),High School Diploma,Republican
"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Republican
"$50,000 - $74,999",Married (no kids),Bachelor's Degree,Republican
"over $150,000",Married (w/kids),Current Undergraduate,Democrat
"$50,000 - $74,999",Domestic Partners (w/kids),Associate's Degree,Republican
"over $150,000",Married (w/kids),Bachelor's Degree,Republican
"over $150,000",Married (w/kids),Doctoral Degree,Republican
"$25,001 - $50,000",Single (no kids),Master's Degree,Republican
"$25,001 - $50,000",Single (w/kids),Master's Degree,Democrat
"$100,001 - $150,000",Married (w/kids),Master's Degree,Republican
"$25,001 - $50,000",Married (no kids),High School Diploma,Democrat
"$50,000 - $74,999",Single (no kids),Current Undergraduate,Democrat
"$75,000 - $100,000",Single (no kids),Bachelor's Degree,Democrat
"$50,000 - $74,999",Single (no kids),High School Diploma,Republican
"$50,000 - $74,999",Married (w/kids),High School Diploma,Republican
"$75,000 - $100,000",Married (w/kids),Master's Degree,Democrat
"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Republican
"$50,000 - $74,999",Married (no kids),High School Diploma,Republican
"$100,001 - $150,000",Single (no kids),Master's Degree,Democrat
"$25,001 - $50,000",Single (no kids),High School Diploma,Republican
"$50,000 - $74,999",Single (no kids),Associate's Degree,Republican
"$100,001 - $150,000",Single (no kids),Current Undergraduate,Democrat
"under $25,000",Single (no kids),Associate's Degree,Democrat
"$25,001 - $50,000",Married (no kids),Master's Degree,Republican
"$25,001 - $50,000",Single (no kids),Current Undergraduate,Democrat
"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Republican
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat
"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Republican
"under $25,000",Single (no kids),Current Undergraduate,Republican
"$25,001 - $50,000",Married (w/kids),Associate's Degree,Republican
"$25,001 - $50,000",Single (no kids),Current Undergraduate,Democrat
"$25,001 - $50,000",Single (w/kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Current K-12,Democrat
"$75,000 - $100,000",Single (no kids),Current Undergraduate,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Republican
"under $25,000",Single (no kids),High School Diploma,Republican
"$25,001 - $50,000",Single (no kids),Current Undergraduate,Democrat
"over $150,000",Married (w/kids),Doctoral Degree,Democrat
"$100,001 - $150,000",Married (no kids),Master's Degree,Republican
"$75,000 - $100,000",Married (w/kids),High School Diploma,Democrat
"$25,001 - $50,000",Married (w/kids),Associate's Degree,Republican
"$50,000 - $74,999",Married (no kids),Master's Degree,Republican
"$75,000 - $100,000",Single (no kids),Current Undergraduate,Democrat
"$25,001 - $50,000",Married (w/kids),Associate's Degree,Republican
"$75,000 - $100,000",Married (w/kids),Associate's Degree,Republican
"$25,001 - $50,000",Single (no kids),Current K-12,Democrat
"$25,001 - $50,000",Single (no kids),Associate's Degree,Republican
"$100,001 - $150,000",Married (w/kids),Master's Degree,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Republican
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat
"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Democrat
"over $150,000",Single (no kids),Current K-12,Democrat
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Republican
"$100,001 - $150,000",Married (no kids),High School Diploma,Republican
"over $150,000",Single (no kids),Current Undergraduate,Democrat
"$25,001 - $50,000",Single (no kids),Current K-12,Democrat
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat
"$75,000 - $100,000",Single (no kids),Current K-12,Democrat
"$50,000 - $74,999",Married (no kids),Current Undergraduate,Republican
"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Republican
"under $25,000",Single (no kids),Bachelor's Degree,Republican
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"over $150,000",Married (w/kids),Master's Degree,Democrat
"under $25,000",Single (no kids),Current K-12,Republican
"over $150,000",Single (no kids),Current K-12,Democrat
"$50,000 - $74,999",Single (no kids),Current K-12,Republican
"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Democrat
"$25,001 - $50,000",Single (no kids),Current K-12,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$50,000 - $74,999",Single (w/kids),Current Undergraduate,Republican
"under $25,000",Single (no kids),High School Diploma,Democrat
"$25,001 - $50,000",Single (no kids),Current Undergraduate,Democrat
"under $25,000",Single (no kids),Doctoral Degree,Democrat
"$100,001 - $150,000",Married (w/kids),Associate's Degree,Republican
"$25,001 - $50,000",Single (no kids),High School Diploma,Democrat
"$50,000 - $74,999",Single (no kids),Current Undergraduate,Democrat
"over $150,000",Married (w/kids),Current Undergraduate,Republican
"under $25,000",Single (w/kids),Bachelor's Degree,Republican
"$75,000 - $100,000",Single (no kids),Master's Degree,Democrat
"$25,001 - $50,000",Single (w/kids),Associate's Degree,Democrat
"$100,001 - $150,000",Single (no kids),Master's Degree,Republican
"$50,000 - $74,999",Married (no kids),Bachelor's Degree,Republican
"$50,000 - $74,999",Married (no kids),Bachelor's Degree,Republican
"over $150,000",Married (no kids),Master's Degree,Democrat
"$75,000 - $100,000",Married (w/kids),Master's Degree,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Republican
"$75,000 - $100,000",Married (no kids),Bachelor's Degree,Republican
"$100,001 - $150,000",Married (w/kids),High School Diploma,Republican
"$50,000 - $74,999",Single (no kids),High School Diploma,Republican
"over $150,000",Single (no kids),Current Undergraduate,Republican
"$50,000 - $74,999",Married (no kids),Associate's Degree,Democrat
"$25,001 - $50,000",Single (w/kids),Current Undergraduate,Democrat
"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,Democrat
"$100,001 - $150,000",Married (w/kids),Master's Degree,Republican
"$50,000 - $74,999",Married (w/kids),High School Diploma,Democrat
"under $25,000",Married (no kids),High School Diploma,Republican
"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Democrat
"$100,001 - $150,000",Married (w/kids),Associate's Degree,Republican
"$100,001 - $150,000",Married (w/kids),Current Undergraduate,Republican
"over $150,000",Married (w/kids),Bachelor's Degree,Republican
"$100,001 - $150,000",Single (no kids),Current K-12,Democrat
"$50,000 - $74,999",Married (no kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$75,000 - $100,000",Married (w/kids),Current K-12,Republican
"$50,000 - $74,999",Married (w/kids),Associate's Degree,Republican
"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Democrat
"$75,000 - $100,000",Married (w/kids),Master's Degree,Democrat
"$25,001 - $50,000",Married (w/kids),High School Diploma,Democrat
"under $25,000",Married (w/kids),Current Undergraduate,Democrat
"$75,000 - $100,000",Married (no kids),Bachelor's Degree,Democrat
"over $150,000",Married (no kids),Bachelor's Degree,Republican
"$100,001 - $150,000",Married (w/kids),Doctoral Degree,Republican
"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Democrat
"$75,000 - $100,000",Married (w/kids),High School Diploma,Republican
"$50,000 - $74,999",Married (no kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Master's Degree,Democrat
"$75,000 - $100,000",Single (no kids),Current K-12,Democrat
"under $25,000",Single (no kids),Bachelor's Degree,Republican
"under $25,000",Married (w/kids),Bachelor's Degree,Democrat
"$50,000 - $74,999",Married (no kids),Bachelor's Degree,Democrat
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat
"over $150,000",Married (no kids),Master's Degree,Democrat
"$50,000 - $74,999",Single (no kids),High School Diploma,Republican
"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Republican
"$75,000 - $100,000",Single (no kids),Current K-12,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Republican
"over $150,000",Domestic Partners (w/kids),High School Diploma,Republican
"under $25,000",Married (w/kids),Doctoral Degree,Democrat
"$100,001 - $150,000",Domestic Partners (no kids),Master's Degree,Republican
"over $150,000",Married (w/kids),Bachelor's Degree,Republican
"$75,000 - $100,000",Married (w/kids),Bachelor's Degree,Republican
"under $25,000",Single (no kids),Current K-12,Democrat
"$75,000 - $100,000",Married (no kids),High School Diploma,Democrat
"over $150,000",Single (no kids),Current K-12,Republican
"$50,000 - $74,999",Married (w/kids),Master's Degree,Democrat
"under $25,000",Single (no kids),High School Diploma,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Republican
"$25,001 - $50,000",Single (w/kids),Bachelor's Degree,Republican
"under $25,000",Domestic Partners (no kids),Associate's Degree,Democrat
"$100,001 - $150,000",Single (no kids),Bachelor's Degree,Democrat
"over $150,000",Single (no kids),Current K-12,Democrat
"$75,000 - $100,000",Married (w/kids),Master's Degree,Republican
"$25,001 - $50,000",Married (w/kids),Bachelor's Degree,Democrat
"$25,001 - $50,000",Married (w/kids),Bachelor's Degree,Republican
"$100,001 - $150,000",Married (no kids),High School Diploma,Republican
"$50,000 - $74,999",Single (no kids),Master's Degree,Democrat
"$75,000 - $100,000",Single (w/kids),Master's Degree,Republican
"under $25,000",Single (no kids),Current K-12,Democrat
"under $25,000",Married (no kids),Bachelor's Degree,Republican
"$25,001 - $50,000",Married (no kids),Associate's Degree,Democrat
"over $150,000",Married (no kids),High School Diploma,Democrat
"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,Democrat
"$50,000 - $74,999",Married (w/kids),Master's Degree,Democrat
"$50,000 - $74,999",Single (w/kids),Bachelor's Degree,Democrat
"$75,000 - $100,000",Single (w/kids),Bachelor's Degree,Democrat
"$75,000 - $100,000",Single (no kids),Current K-12,Democrat
"$100,001 - $150,000",Married (no kids),Doctoral Degree,Republican
"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Democrat
"over $150,000",Single (no kids),Current K-12,Republican
"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Democrat
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Bachelor's Degree,Republican
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Republican
"$100,001 - $150,000",Married (w/kids),Master's Degree,Democrat
"$75,000 - $100,000",Married (no kids),Bachelor's Degree,Republican
"$50,000 - $74,999",Single (no kids),Current K-12,Democrat
"$50,000 - $74,999",Single (w/kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Current K-12,Republican
"under $25,000",Single (no kids),High School Diploma,Republican
"$100,001 - $150,000",Married (w/kids),Bachelor's Degree,Republican
"$50,000 - $74,999",Married (w/kids),High School Diploma,Republican
"over $150,000",Married (w/kids),Bachelor's Degree,Republican
"over $150,000",Single (no kids),Doctoral Degree,Democrat
"$25,001 - $50,000",Single (no kids),High School Diploma,Democrat
"$50,000 - $74,999",Single (no kids),Current Undergraduate,Republican
"$75,000 - $100,000",Single (no kids),Master's Degree,Democrat
"under $25,000",Single (no kids),Current Undergraduate,Democrat
"$100,001 - $150,000",Single (no kids),Master's Degree,Democrat
"over $150,000",Domestic Partners (no kids),Doctoral Degree,Republican
"under $25,000",Domestic Partners (no kids),Current Undergraduate,Democrat
"$25,001 - $50,000",Single (no kids),Current Undergraduate,Republican
"over $150,000",Married (w/kids),High School Diploma,Republican
"over $150,000",Single (no kids),Current K-12,Republican
"$100,001 - $150,000",Married (w/kids),Master's Degree,Republican
"$75,000 - $100,000",Single (no kids),Current Undergraduate,Republican
"$100,001 - $150,000",Single (no kids),Bachelor's Degree,Democrat
"$75,000 - $100,000",Married (no kids),Current Undergraduate,Republican
"under $25,000",Single (w/kids),Current Undergraduate,Republican
"$100,001 - $150,000",Single (no kids),Current K-12,Democrat
"under $25,000",Single (no kids),Current K-12,Democrat
"$25,001 - $50,000",Single (no kids),Associate's Degree,Democrat
"$50,000 - $74,999",Married (no kids),Bachelor's Degree,Democrat
"under $25,000",Single (no kids),Bachelor's Degree,Democrat
"$75,000 - $100,000",Single (no kids),Current K-12,Republican
"$75,000 - $100,000",Single (no kids),Bachelor's Degree,Democrat
"over $150,000",Domestic Partners (no kids),Doctoral Degree,Democrat
"$50,000 - $74,999",Married (no kids),Current Undergraduate,Republican
"$100,001 - $150,000",Married (w/kids),Master's Degree,Republican
"under $25,000",Single (no kids),Current Undergraduate,Republican
"over $150,000",Single (no kids),Current Undergraduate,Republican
"under $25,000",Single (no kids),Doctoral Degree,Republican
"$25,001 - $50,000",Single (w/kids),Current Undergraduate,Democrat
"over $150,000",Married (w/kids),High School Diploma,Democrat
"$100,001 - $150,000",Married (w/kids),Associate's Degree,Republican
"$50,000 - $74,999",Single (no kids),Master's Degree,Republican
"$75,000 - $100,000",Single (no kids),Bachelor's Degree,Democrat
"$100,001 - $150,000",Married (no kids),Bachelor's Degree,Democrat
"$100,001 - $150,000",Domestic Partners (no kids),Bachelor's Degree,Democrat
"$75,000 - $100,000",Single (w/kids),Bachelor's Degree,Democrat
"under $25,000",Married (w/kids),High School Diploma,Republican
"$50,000 - $74,999",Married (no kids),Doctoral Degree,Democrat
"$75,000 - $100,000",Married (no kids),Master's Degree,Democrat
"$25,001 - $50,000",Single (no kids),Associate's Degree,Republican
"$25,001 - $50,000",Married (no kids),Doctoral Degree,Republican
"$25,001 - $50,000",Single (no kids),Bachelor's Degree,Democrat
"$50,000 - $74,999",Married (no kids),High School Diploma,Democrat
"over $150,000",Single (no kids),Bachelor's Degree,Democrat
"$50,000 - $74,999",Married (w/kids),Bachelor's Degree,Democrat
"$25,001 - $50,000",Single (no kids),Master's Degree,Democrat
"$50,000 - $74,999",Single (no kids),High School Diploma,Republican
"$25,001 - $50,000",Single (no kids),Doctoral Degree,Republican
"under $25,000",Single (no kids),Current Undergraduate,Republican
"$25,001 - $50,000",Married (w/kids),Master's Degree,Democrat
"$25,001 - $50,000",Single (no kids),Master's Degree,Democrat
"$50,000 - $74,999",Single (no kids),Current K-12,Democrat
"under $25,000",Single (no kids),Bachelor's Degree,Republican
"$50,000 - $74,999",Single (no kids),Bachelor's Degree,Democrat
"$100,001 - $150,000",Single (w/kids),High School Diploma,Democrat
"$50,000 - $74,999",Single (w/kids),Doctoral Degree,Democrat
